SD,owop,owgp,gwgp,gwop,county
2000-07-01,2175185.0,2887331.0,181923.0,287.0,ANDREWS
2000-08-01,2216867.0,2939708.0,178655.0,322.0,ANDREWS
2000-09-01,2147662.0,2938706.0,209824.0,331.0,ANDREWS
2000-10-01,2241127.0,3003332.0,214508.0,358.0,ANDREWS
2000-11-01,2189363.0,2966862.0,207834.0,420.0,ANDREWS
2000-12-01,2218938.0,2768258.0,206918.0,530.0,ANDREWS
2001-01-01,2251012.0,2733130.0,206257.0,403.0,ANDREWS
2001-02-01,2032227.0,2505161.0,183724.0,378.0,ANDREWS
2001-03-01,2257224.0,2882617.0,194329.0,582.0,ANDREWS
2001-04-01,2148981.0,2827727.0,179331.0,417.0,ANDREWS
2001-05-01,2198009.0,3025327.0,184519.0,419.0,ANDREWS
2001-06-01,2134679.0,2974035.0,189507.0,373.0,ANDREWS
2001-07-01,2200164.0,3200585.0,186667.0,282.0,ANDREWS
2001-08-01,2206315.0,3190619.0,193879.0,307.0,ANDREWS
2001-09-01,2141089.0,3171137.0,174444.0,264.0,ANDREWS
2001-10-01,2247992.0,3191175.0,183649.0,277.0,ANDREWS
2001-11-01,2151210.0,2967772.0,162805.0,272.0,ANDREWS
2001-12-01,2234198.0,3044745.0,182062.0,135.0,ANDREWS
2002-01-01,2219138.0,3101385.0,175062.0,190.0,ANDREWS
2002-02-01,2132616.0,2696683.0,155591.0,470.0,ANDREWS
2002-03-01,2321673.0,3212462.0,155806.0,147.0,ANDREWS
2002-04-01,2204879.0,3057200.0,158415.0,319.0,ANDREWS
2002-05-01,2308357.0,3348650.0,161021.0,309.0,ANDREWS
2002-06-01,2184654.0,3032911.0,163524.0,248.0,ANDREWS
2002-07-01,2256485.0,3124085.0,160735.0,427.0,ANDREWS
2002-08-01,2247451.0,3027265.0,145977.0,301.0,ANDREWS
2002-09-01,2223986.0,3217423.0,153858.0,317.0,ANDREWS
2002-10-01,2305594.0,3256437.0,160800.0,302.0,ANDREWS
2002-11-01,2205260.0,3084799.0,155040.0,299.0,ANDREWS
2002-12-01,2262213.0,3141613.0,162216.0,273.0,ANDREWS
2003-01-01,2246682.0,2494632.0,161413.0,298.0,ANDREWS
2003-02-01,1908689.0,2094175.0,149191.0,302.0,ANDREWS
2003-03-01,2109055.0,2429732.0,163804.0,227.0,ANDREWS
2003-04-01,2008368.0,2377302.0,152709.0,173.0,ANDREWS
2003-05-01,2075744.0,2477089.0,156983.0,186.0,ANDREWS
2003-06-01,1992490.0,2370066.0,146724.0,199.0,ANDREWS
2003-07-01,2036176.0,2489483.0,161981.0,212.0,ANDREWS
2003-08-01,2029592.0,2463699.0,165249.0,310.0,ANDREWS
2003-09-01,1946770.0,2324444.0,152727.0,222.0,ANDREWS
2003-10-01,1995821.0,2348751.0,156787.0,184.0,ANDREWS
2003-11-01,1948408.0,2314356.0,163009.0,190.0,ANDREWS
2003-12-01,1974942.0,2353359.0,159630.0,221.0,ANDREWS
2004-01-01,1968284.0,2842288.0,154204.0,212.0,ANDREWS
2004-02-01,1866440.0,2313020.0,142253.0,185.0,ANDREWS
2004-03-01,2011981.0,2376049.0,153186.0,182.0,ANDREWS
2004-04-01,1944522.0,2299268.0,134756.0,223.0,ANDREWS
2004-05-01,1975978.0,2453784.0,140023.0,251.0,ANDREWS
2004-06-01,1889885.0,2336464.0,137460.0,197.0,ANDREWS
2004-07-01,1939071.0,2450410.0,137555.0,191.0,ANDREWS
2004-08-01,1941151.0,2450025.0,139213.0,274.0,ANDREWS
2004-09-01,1901864.0,2250248.0,133770.0,391.0,ANDREWS
2004-10-01,1967206.0,2378164.0,133287.0,250.0,ANDREWS
2004-11-01,1951539.0,2278411.0,140250.0,235.0,ANDREWS
2004-12-01,1990333.0,2278789.0,136634.0,252.0,ANDREWS
2005-01-01,2023727.0,2413685.0,139907.0,203.0,ANDREWS
2005-02-01,1866765.0,2195566.0,126883.0,250.0,ANDREWS
2005-03-01,2071960.0,2691081.0,134510.0,280.0,ANDREWS
2005-04-01,1965673.0,2202471.0,116678.0,266.0,ANDREWS
2005-05-01,2042531.0,2499576.0,137219.0,309.0,ANDREWS
2005-06-01,1972920.0,2427767.0,125035.0,297.0,ANDREWS
2005-07-01,2025732.0,2559130.0,127836.0,334.0,ANDREWS
2005-08-01,2030891.0,2504115.0,128254.0,297.0,ANDREWS
2005-09-01,1948194.0,2178592.0,104413.0,231.0,ANDREWS
2005-10-01,2014839.0,2332636.0,119561.0,310.0,ANDREWS
2005-11-01,1998850.0,2370880.0,132118.0,263.0,ANDREWS
2005-12-01,2008529.0,2355979.0,132627.0,338.0,ANDREWS
2006-01-01,2076943.0,2512965.0,134871.0,362.0,ANDREWS
2006-02-01,1873996.0,2283434.0,124739.0,327.0,ANDREWS
2006-03-01,2101846.0,2531310.0,133206.0,330.0,ANDREWS
2006-04-01,2016291.0,2403843.0,137080.0,303.0,ANDREWS
2006-05-01,2043215.0,2323603.0,141818.0,385.0,ANDREWS
2006-06-01,2012786.0,2371010.0,146444.0,323.0,ANDREWS
2006-07-01,2047296.0,2493461.0,144426.0,321.0,ANDREWS
2006-08-01,2025908.0,2419810.0,151656.0,391.0,ANDREWS
2006-09-01,1994826.0,2263153.0,151802.0,453.0,ANDREWS
2006-10-01,2113618.0,2337929.0,152616.0,522.0,ANDREWS
2006-11-01,2039561.0,2164938.0,121962.0,333.0,ANDREWS
2006-12-01,2097409.0,2335833.0,168705.0,472.0,ANDREWS
2007-01-01,2057023.0,2271782.0,145414.0,527.0,ANDREWS
2007-02-01,1894106.0,2099568.0,131119.0,559.0,ANDREWS
2007-03-01,2099036.0,2365513.0,140919.0,579.0,ANDREWS
2007-04-01,2016700.0,2271647.0,134769.0,548.0,ANDREWS
2007-05-01,2056711.0,2361528.0,143475.0,749.0,ANDREWS
2007-06-01,1939102.0,2299706.0,154219.0,530.0,ANDREWS
2007-07-01,2038176.0,2423459.0,132563.0,489.0,ANDREWS
2007-08-01,2026459.0,2407204.0,147448.0,636.0,ANDREWS
2007-09-01,1973636.0,2227775.0,132322.0,637.0,ANDREWS
2007-10-01,2031663.0,2339516.0,139190.0,695.0,ANDREWS
2007-11-01,1981097.0,2265339.0,136312.0,760.0,ANDREWS
2007-12-01,2057315.0,2302883.0,138538.0,1028.0,ANDREWS
2008-01-01,2032799.0,2163086.0,125534.0,623.0,ANDREWS
2008-02-01,1943209.0,2179561.0,140778.0,691.0,ANDREWS
2008-03-01,2072345.0,2290376.0,140946.0,541.0,ANDREWS
2008-04-01,1998058.0,2315647.0,128402.0,531.0,ANDREWS
2008-05-01,2039422.0,2456672.0,136902.0,554.0,ANDREWS
2008-06-01,1930870.0,2274237.0,99380.0,439.0,ANDREWS
2008-07-01,2038029.0,2456600.0,121456.0,456.0,ANDREWS
2008-08-01,2076063.0,2453060.0,133906.0,654.0,ANDREWS
2008-09-01,1982539.0,1744397.0,88435.0,719.0,ANDREWS
2008-10-01,2112382.0,2378775.0,153238.0,899.0,ANDREWS
2008-11-01,2032699.0,2325850.0,135345.0,807.0,ANDREWS
2008-12-01,2102992.0,2397948.0,123453.0,531.0,ANDREWS
2009-01-01,2058147.0,2218000.0,100531.0,497.0,ANDREWS
2009-02-01,1862749.0,2059539.0,104844.0,959.0,ANDREWS
2009-03-01,2030978.0,2183408.0,102201.0,950.0,ANDREWS
2009-04-01,1935624.0,2295304.0,133947.0,901.0,ANDREWS
2009-05-01,2005462.0,2590803.0,146453.0,946.0,ANDREWS
2009-06-01,1877743.0,2525017.0,167735.0,866.0,ANDREWS
2009-07-01,1891868.0,2545206.0,189062.0,985.0,ANDREWS
2009-08-01,1952357.0,2508461.0,187657.0,717.0,ANDREWS
2009-09-01,1968225.0,2479536.0,209005.0,761.0,ANDREWS
2009-10-01,2003646.0,2119237.0,191946.0,802.0,ANDREWS
2009-11-01,1978211.0,2572335.0,197390.0,795.0,ANDREWS
2009-12-01,2053039.0,2521820.0,178214.0,1157.0,ANDREWS
2010-01-01,2036400.0,2535008.0,170102.0,960.0,ANDREWS
2010-02-01,1907771.0,2515920.0,159699.0,1088.0,ANDREWS
2010-03-01,2161273.0,2752937.0,166109.0,1144.0,ANDREWS
2010-04-01,2068096.0,2740333.0,163312.0,954.0,ANDREWS
2010-05-01,2131525.0,2873034.0,175465.0,1542.0,ANDREWS
2010-06-01,2108442.0,2696077.0,168835.0,1503.0,ANDREWS
2010-07-01,2240257.0,2930541.0,175279.0,1632.0,ANDREWS
2010-08-01,2199385.0,2949622.0,152142.0,1977.0,ANDREWS
2010-09-01,2136986.0,2885760.0,139002.0,1718.0,ANDREWS
2010-10-01,2247977.0,2995046.0,139140.0,1376.0,ANDREWS
2010-11-01,2237811.0,2939008.0,122756.0,1039.0,ANDREWS
2010-12-01,2332153.0,3062036.0,128222.0,946.0,ANDREWS
2011-01-01,2363353.0,3108040.0,128402.0,1027.0,ANDREWS
2011-02-01,1841294.0,2417799.0,110198.0,745.0,ANDREWS
2011-03-01,2426037.0,3113808.0,136989.0,2094.0,ANDREWS
2011-04-01,2355811.0,2955866.0,121977.0,1917.0,ANDREWS
2011-05-01,2440476.0,3282394.0,102614.0,2255.0,ANDREWS
2011-06-01,2303496.0,3167312.0,122803.0,2276.0,ANDREWS
2011-07-01,2418848.0,3406942.0,124169.0,1741.0,ANDREWS
2011-08-01,2512556.0,3382228.0,114588.0,1558.0,ANDREWS
2011-09-01,2441403.0,3440093.0,108004.0,1635.0,ANDREWS
2011-10-01,2599403.0,3652428.0,112215.0,1803.0,ANDREWS
2011-11-01,2561315.0,3312302.0,90747.0,1010.0,ANDREWS
2011-12-01,2652109.0,3615621.0,105159.0,867.0,ANDREWS
2012-01-01,2692029.0,3545695.0,77437.0,1046.0,ANDREWS
2012-02-01,2558881.0,3468616.0,72051.0,1041.0,ANDREWS
2012-03-01,2732366.0,3783943.0,77720.0,961.0,ANDREWS
2012-04-01,2688815.0,3746890.0,70564.0,903.0,ANDREWS
2012-05-01,2820150.0,3841699.0,76587.0,630.0,ANDREWS
2012-06-01,2711583.0,3879608.0,72058.0,734.0,ANDREWS
2012-07-01,2873410.0,4129647.0,95413.0,630.0,ANDREWS
2012-08-01,2875964.0,4107485.0,87218.0,838.0,ANDREWS
2012-09-01,2772027.0,3903728.0,82701.0,683.0,ANDREWS
2012-10-01,2948860.0,4169532.0,85955.0,594.0,ANDREWS
2012-11-01,2858869.0,4206595.0,74827.0,434.0,ANDREWS
2012-12-01,2816001.0,4276268.0,77577.0,460.0,ANDREWS
2013-01-01,2834328.0,4063253.0,70359.0,585.0,ANDREWS
2013-02-01,2597565.0,3805695.0,72572.0,438.0,ANDREWS
2013-03-01,2867171.0,4063504.0,72470.0,655.0,ANDREWS
2013-04-01,2732779.0,4137451.0,60290.0,502.0,ANDREWS
2013-05-01,2849464.0,4133592.0,54542.0,468.0,ANDREWS
2013-06-01,2780342.0,4223994.0,55031.0,405.0,ANDREWS
2013-07-01,2969305.0,4564776.0,52281.0,250.0,ANDREWS
2013-08-01,2948803.0,4018182.0,66135.0,462.0,ANDREWS
2013-09-01,2859192.0,4594410.0,55630.0,445.0,ANDREWS
2013-10-01,3035088.0,4675767.0,53689.0,598.0,ANDREWS
2013-11-01,2993886.0,4540279.0,50214.0,535.0,ANDREWS
2013-12-01,3056753.0,4620136.0,60079.0,884.0,ANDREWS
2014-01-01,3042748.0,4798160.0,55616.0,584.0,ANDREWS
2014-02-01,2791885.0,4190010.0,47417.0,420.0,ANDREWS
2014-03-01,3137948.0,4907971.0,65645.0,694.0,ANDREWS
2014-04-01,3034045.0,4502649.0,54054.0,517.0,ANDREWS
2014-05-01,3211947.0,4960068.0,59493.0,473.0,ANDREWS
2014-06-01,3068950.0,4892170.0,59061.0,471.0,ANDREWS
2014-07-01,3194406.0,5204885.0,54374.0,532.0,ANDREWS
2014-08-01,3181301.0,5212444.0,56959.0,459.0,ANDREWS
2014-09-01,3074037.0,5036533.0,50264.0,403.0,ANDREWS
2014-10-01,3287422.0,5282851.0,44589.0,372.0,ANDREWS
2014-11-01,3241018.0,5075694.0,48530.0,385.0,ANDREWS
2014-12-01,3312390.0,5205378.0,47996.0,380.0,ANDREWS
2015-01-01,2960497.0,4589911.0,49544.0,345.0,ANDREWS
2015-02-01,3024393.0,4715196.0,45753.0,399.0,ANDREWS
2015-03-01,3381182.0,5130540.0,66981.0,454.0,ANDREWS
2015-04-01,3165119.0,5002986.0,65269.0,401.0,ANDREWS
2015-05-01,3226379.0,5223637.0,78310.0,368.0,ANDREWS
2015-06-01,3149062.0,5105768.0,55757.0,342.0,ANDREWS
2015-07-01,3223652.0,5412800.0,74448.0,414.0,ANDREWS
2015-08-01,3262106.0,5542779.0,71425.0,364.0,ANDREWS
2015-09-01,3178460.0,5412184.0,59385.0,429.0,ANDREWS
2015-10-01,3137591.0,5152360.0,60490.0,395.0,ANDREWS
2015-11-01,3085587.0,5081667.0,75169.0,333.0,ANDREWS
2015-12-01,3212995.0,5301455.0,71966.0,375.0,ANDREWS
2016-01-01,3236543.0,5455688.0,73880.0,497.0,ANDREWS
2016-02-01,3094212.0,5227872.0,76376.0,672.0,ANDREWS
2016-03-01,3277123.0,5660458.0,127663.0,2993.0,ANDREWS
2016-04-01,3155664.0,5548280.0,115981.0,2048.0,ANDREWS
2016-05-01,3173259.0,5621005.0,111552.0,1729.0,ANDREWS
2016-06-01,3011963.0,5453483.0,101965.0,1351.0,ANDREWS
2016-07-01,3102023.0,5681575.0,103992.0,1229.0,ANDREWS
2016-08-01,3031414.0,5521254.0,97345.0,1109.0,ANDREWS
2016-09-01,3022608.0,5280666.0,71968.0,630.0,ANDREWS
2016-10-01,3136434.0,5596103.0,82030.0,1029.0,ANDREWS
2016-11-01,2988189.0,5244661.0,85246.0,1083.0,ANDREWS
2016-12-01,2926452.0,5129291.0,86011.0,925.0,ANDREWS
2017-01-01,3027959.0,5168579.0,84596.0,1012.0,ANDREWS
1993-01-01,128995.0,306568.0,662302.0,6170.0,ANDERSON
1993-02-01,109846.0,270903.0,581103.0,6077.0,ANDERSON
1993-03-01,117641.0,287842.0,591023.0,6367.0,ANDERSON
1993-04-01,112515.0,275650.0,565575.0,6413.0,ANDERSON
1993-05-01,123331.0,315629.0,455136.0,4489.0,ANDERSON
1993-06-01,115644.0,301969.0,434092.0,3567.0,ANDERSON
1993-07-01,116509.0,301650.0,563973.0,4524.0,ANDERSON
1993-08-01,115669.0,309697.0,563596.0,4734.0,ANDERSON
1993-09-01,110036.0,300875.0,519296.0,5056.0,ANDERSON
1993-10-01,112359.0,307403.0,528760.0,5362.0,ANDERSON
1993-11-01,106332.0,280893.0,493175.0,4864.0,ANDERSON
1993-12-01,109094.0,296680.0,541222.0,5596.0,ANDERSON
1994-01-01,113424.0,310976.0,520469.0,6249.0,ANDERSON
1994-02-01,99475.0,290838.0,474738.0,4941.0,ANDERSON
1994-03-01,112403.0,327302.0,517798.0,7009.0,ANDERSON
1994-04-01,108330.0,309447.0,499336.0,6810.0,ANDERSON
1994-05-01,114643.0,302437.0,466679.0,5377.0,ANDERSON
1994-06-01,116679.0,312444.0,484050.0,4638.0,ANDERSON
1994-07-01,117367.0,322986.0,515099.0,4664.0,ANDERSON
1994-08-01,118937.0,319954.0,514712.0,5850.0,ANDERSON
1994-09-01,118281.0,312485.0,453552.0,4561.0,ANDERSON
1994-10-01,117922.0,316136.0,427420.0,4000.0,ANDERSON
1994-11-01,114417.0,319425.0,390517.0,4899.0,ANDERSON
1994-12-01,109853.0,326997.0,452440.0,6485.0,ANDERSON
1995-01-01,113693.0,298880.0,398810.0,5598.0,ANDERSON
1995-02-01,105465.0,274678.0,350422.0,5388.0,ANDERSON
1995-03-01,111919.0,295491.0,352993.0,5586.0,ANDERSON
1995-04-01,108915.0,281493.0,401958.0,6433.0,ANDERSON
1995-05-01,107603.0,280004.0,401896.0,5085.0,ANDERSON
1995-06-01,108440.0,284318.0,383152.0,4854.0,ANDERSON
1995-07-01,105909.0,288173.0,377978.0,4882.0,ANDERSON
1995-08-01,106295.0,296900.0,387526.0,5259.0,ANDERSON
1995-09-01,99731.0,285534.0,408209.0,5387.0,ANDERSON
1995-10-01,113395.0,302327.0,402916.0,5201.0,ANDERSON
1995-11-01,109843.0,288774.0,371625.0,5206.0,ANDERSON
1995-12-01,108490.0,289924.0,358850.0,4447.0,ANDERSON
1996-01-01,105384.0,271304.0,362585.0,5256.0,ANDERSON
1996-02-01,96844.0,253669.0,347289.0,4894.0,ANDERSON
1996-03-01,104800.0,284355.0,404544.0,7020.0,ANDERSON
1996-04-01,101833.0,286406.0,390734.0,7149.0,ANDERSON
1996-05-01,105640.0,280056.0,429669.0,6797.0,ANDERSON
1996-06-01,98055.0,292957.0,393635.0,5820.0,ANDERSON
1996-07-01,101031.0,302547.0,393594.0,6053.0,ANDERSON
1996-08-01,97495.0,278187.0,471775.0,5824.0,ANDERSON
1996-09-01,91235.0,242220.0,417244.0,5893.0,ANDERSON
1996-10-01,89778.0,245573.0,535362.0,7314.0,ANDERSON
1996-11-01,94465.0,247810.0,506045.0,7088.0,ANDERSON
1996-12-01,99953.0,250872.0,488754.0,7197.0,ANDERSON
1997-01-01,98396.0,247465.0,521634.0,6812.0,ANDERSON
1997-02-01,90478.0,239107.0,477973.0,6546.0,ANDERSON
1997-03-01,99391.0,270687.0,568991.0,8476.0,ANDERSON
1997-04-01,92475.0,271175.0,587730.0,8769.0,ANDERSON
1997-05-01,93375.0,254037.0,588291.0,9387.0,ANDERSON
1997-06-01,94686.0,255656.0,568858.0,9042.0,ANDERSON
1997-07-01,97338.0,260791.0,675409.0,10091.0,ANDERSON
1997-08-01,97317.0,257556.0,820698.0,11104.0,ANDERSON
1997-09-01,93808.0,261128.0,716813.0,9275.0,ANDERSON
1997-10-01,94135.0,268603.0,833491.0,9827.0,ANDERSON
1997-11-01,96765.0,262581.0,764363.0,9131.0,ANDERSON
1997-12-01,94211.0,268668.0,789562.0,9551.0,ANDERSON
1998-01-01,94285.0,289816.0,715521.0,9278.0,ANDERSON
1998-02-01,87803.0,255454.0,664495.0,9382.0,ANDERSON
1998-03-01,96989.0,284086.0,738364.0,11134.0,ANDERSON
1998-04-01,93280.0,290512.0,737337.0,9591.0,ANDERSON
1998-05-01,92821.0,279624.0,792414.0,9658.0,ANDERSON
1998-06-01,90168.0,276244.0,746515.0,9155.0,ANDERSON
1998-07-01,88810.0,282216.0,842932.0,10633.0,ANDERSON
1998-08-01,88393.0,282659.0,799055.0,9362.0,ANDERSON
1998-09-01,83235.0,268928.0,720537.0,9657.0,ANDERSON
1998-10-01,84676.0,273662.0,689924.0,9823.0,ANDERSON
1998-11-01,82538.0,261076.0,645010.0,9052.0,ANDERSON
1998-12-01,82958.0,264458.0,607291.0,9314.0,ANDERSON
1999-01-01,85318.0,304753.0,589476.0,8622.0,ANDERSON
1999-02-01,77658.0,272062.0,528271.0,7021.0,ANDERSON
1999-03-01,81746.0,303901.0,654361.0,8413.0,ANDERSON
1999-04-01,78891.0,302727.0,670106.0,6862.0,ANDERSON
1999-05-01,80620.0,290437.0,690361.0,6440.0,ANDERSON
1999-06-01,79997.0,296281.0,632578.0,6354.0,ANDERSON
1999-07-01,80722.0,296210.0,631568.0,6039.0,ANDERSON
1999-08-01,84013.0,355693.0,591687.0,6153.0,ANDERSON
1999-09-01,79242.0,360859.0,540514.0,6487.0,ANDERSON
1999-10-01,84514.0,359527.0,526625.0,6379.0,ANDERSON
1999-11-01,85135.0,418352.0,507234.0,5758.0,ANDERSON
1999-12-01,83328.0,420570.0,468432.0,4162.0,ANDERSON
2000-01-01,86197.0,424077.0,505458.0,4625.0,ANDERSON
2000-02-01,82930.0,428590.0,494822.0,5811.0,ANDERSON
2000-03-01,83133.0,456065.0,508571.0,4780.0,ANDERSON
2000-04-01,75091.0,428207.0,629838.0,5447.0,ANDERSON
2000-05-01,80391.0,429683.0,771007.0,4166.0,ANDERSON
2000-06-01,76043.0,398133.0,779153.0,4984.0,ANDERSON
2000-07-01,76416.0,329329.0,902061.0,5404.0,ANDERSON
2000-08-01,79503.0,333687.0,846748.0,5690.0,ANDERSON
2000-09-01,73226.0,315468.0,807060.0,6519.0,ANDERSON
2000-10-01,78609.0,318479.0,823948.0,7049.0,ANDERSON
2000-11-01,73568.0,310703.0,698742.0,5919.0,ANDERSON
2000-12-01,72499.0,315591.0,712969.0,4677.0,ANDERSON
2001-01-01,72330.0,342990.0,779523.0,4576.0,ANDERSON
2001-02-01,66749.0,340905.0,740381.0,5194.0,ANDERSON
2001-03-01,67164.0,354781.0,954152.0,5907.0,ANDERSON
2001-04-01,72652.0,330907.0,910699.0,6323.0,ANDERSON
2001-05-01,69810.0,347200.0,894323.0,6114.0,ANDERSON
2001-06-01,68300.0,399524.0,861094.0,6050.0,ANDERSON
2001-07-01,69734.0,425094.0,823592.0,5927.0,ANDERSON
2001-08-01,72539.0,438809.0,854965.0,5664.0,ANDERSON
2001-09-01,67614.0,421041.0,816332.0,5980.0,ANDERSON
2001-10-01,67469.0,442476.0,845825.0,5862.0,ANDERSON
2001-11-01,68312.0,436702.0,683506.0,5529.0,ANDERSON
2001-12-01,72282.0,443952.0,920930.0,7114.0,ANDERSON
2002-01-01,72510.0,423567.0,859161.0,6850.0,ANDERSON
2002-02-01,68207.0,414313.0,775416.0,6553.0,ANDERSON
2002-03-01,74618.0,472073.0,784082.0,7266.0,ANDERSON
